date,BvB_Total,BvB_Bullish,BvB_Bearish
2016-10-17,46.518438164948286,0,0
2016-10-18,49.493545255579136,0,0
2016-10-19,15.499197119570308,0,0
2016-10-20,14.496130471294082,0,0
2016-10-21,5.710274488895723,0,0
2016-10-24,15.150724597730585,0,0
2016-10-25,17.533850616991863,0,0
2016-10-26,-45.509139185922336,0,0
2016-10-27,-34.55697863507244,0,0
2016-10-28,-41.7442454601119,0,0
2016-10-31,-47.687575387417965,0,0
2016-11-01,-76.42082991909504,0,0
2016-11-02,-82.71570161552818,0,1
2016-11-03,-96.45178612037532,0,1
2016-11-04,-99.99999999999015,0,1
2016-11-07,-76.82208863985167,0,0
2016-11-08,-57.98854460445108,0,0
2016-11-09,-73.5994970981255,0,0
2016-11-10,-77.60599423121585,0,0
2016-11-11,-84.29195837152783,0,1
2016-11-14,-97.94632416109634,0,1
2016-11-15,-72.67637315912289,0,0
2016-11-16,-43.70261722529619,0,0
2016-11-17,-22.846757729432163,0,0
2016-11-18,-13.759285258384335,0,0
2016-11-21,-0.6574776792603929,0,0
2016-11-22,11.886301179530818,0,0
2016-11-23,-8.055638602694126,0,0
2016-11-25,-2.109847156889911,0,0
2016-11-28,5.4977417059386795,0,0
2016-11-29,-11.647455918643107,0,0
2016-11-30,-7.221165407690334,0,0
2016-12-01,-26.819668984686736,0,0
2016-12-02,-34.6999522057469,0,0
2016-12-05,-36.84339900477639,0,0
2016-12-06,-24.38801782077682,0,0
2016-12-07,-18.262903921941906,0,0
2016-12-08,2.148223046291636,0,0
2016-12-09,30.99830450868425,0,0
2016-12-12,30.06520886138937,0,0
2016-12-13,40.61611952625445,0,0
2016-12-14,45.91445586048127,0,0
2016-12-15,44.688558681167066,0,0
2016-12-16,38.25871285534646,0,0
2016-12-19,39.353165031868556,0,0
2016-12-20,40.54830538299568,0,0
2016-12-21,33.20778715325858,0,0
2016-12-22,10.277070825807922,0,0
2016-12-23,5.5823652486073465,0,0
2016-12-27,20.26175109374776,0,0
2016-12-28,16.238556059334602,0,0
2016-12-29,6.067069069943754,0,0
2016-12-30,-1.8789339694131657,0,0
2017-01-03,-17.33957545039652,0,0
2017-01-04,-7.705968468772067,0,0
2017-01-05,-5.78910094356967,0,0
2017-01-06,7.586417355588771,0,0
2017-01-09,25.74165826550486,0,0
2017-01-10,22.047046041376795,0,0
2017-01-11,22.95229316056153,0,0
2017-01-12,8.546327184774588,0,0
2017-01-13,13.145003059533344,0,0
2017-01-17,8.49408193567755,0,0
2017-01-18,19.128582977770943,0,0
2017-01-19,8.531907482737916,0,0
2017-01-20,11.492549907791005,0,0
2017-01-23,11.898278077921407,0,0
2017-01-24,-0.04568116041201442,0,0
2017-01-25,19.189219772207537,0,0
2017-01-26,27.714283546173306,0,0
2017-01-27,21.415459848592718,0,0
2017-01-30,2.339381862956502,0,0
2017-01-31,-3.0503241675944324,0,0
2017-02-01,99.99999999999164,1,0
2017-02-02,81.58868313567476,1,0
2017-02-03,68.31224546157351,0,0
2017-02-06,69.9395754081457,0,0
2017-02-07,79.96574168360614,0,0
2017-02-08,72.30405402561263,0,0
2017-02-09,59.36093211006185,0,0
2017-02-10,59.79495354844096,0,0
2017-02-13,60.45405640823289,0,0
2017-02-14,60.526954854588524,0,0
2017-02-15,67.97046192975016,0,0
2017-02-16,55.07757321370719,0,0
2017-02-17,45.746075939594235,0,0
2017-02-21,49.133387974964734,0,0
2017-02-22,42.308879957857144,0,0
2017-02-23,38.65919705007819,0,0
2017-02-24,15.865250742311037,0,0
2017-02-27,23.63783541780817,0,0
2017-02-28,20.900376551723067,0,0
2017-03-01,39.42430547423522,0,0
2017-03-02,41.97024239099716,0,0
2017-03-03,27.83415879948805,0,0
2017-03-06,20.58930755809115,0,0
2017-03-07,17.675998897014917,0,0
2017-03-08,12.12949028680471,0,0
2017-03-09,-14.077657107475217,0,0
2017-03-10,0.288642546387635,0,0
2017-03-13,-0.8808482426124797,0,0
2017-03-14,-1.2491208551866304,0,0
2017-03-15,4.161593427396232,0,0
2017-03-16,11.581082091014153,0,0
2017-03-17,5.4401477405286,0,0
2017-03-20,6.678509820136275,0,0
2017-03-21,11.981878955801921,0,0
2017-03-22,-2.534064133871917,0,0
2017-03-23,1.4338763475501999,0,0
2017-03-24,-1.397585730755985,0,0
2017-03-27,-22.404644193118596,0,0
2017-03-28,9.408615910158458,0,0
2017-03-29,26.567163840454292,0,0
2017-03-30,22.70069674255054,0,0
2017-03-31,11.630965358600381,0,0
2017-04-03,6.234054172630244,0,0
2017-04-04,7.41198946501987,0,0
2017-04-05,13.756730653288784,0,0
2017-04-06,0.44076979918078507,0,0
2017-04-07,-5.317560172206425,0,0
